0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,1
23,1
0,2
23,2
0,3
23,3
0,4
23,4
0,5
23,5
0,6
23,6
0,7
23,7
0,8
23,8
0,9
23,9
0,10
23,10
0,11
23,11
0,12
23,12
0,13
23,13
0,14
23,14
0,15
23,15
0,16
23,16
0,17
23,17
0,18
23,18
0,19
23,19
0,20
23,20
0,21
23,21
0,22
23,22
0,23
1,23
2,23
3,23
4,23
5,23
6,23
7,23
8,23
9,23
10,23
11,23
12,23
13,23
14,23
15,23
16,23
17,23
18,23
19,23
20,23
21,23
22,23
23,23
6,6
7,6
8,6
9,6
10,6
11,6
12,6
13,6
14,6
15,6
16,6
17,6
6,7
17,7
6,8
17,8
6,9
17,9
6,10
17,10
17,13
6,14
17,14
6,15
17,15
6,16
17,16
6,17
9,17
10,17
11,17
12,17
15,17
16,17
17,17
