6,0
12,0
18,0
6,1
12,1
18,1
6,2
12,2
18,2
6,3
12,3
18,3
6,4
12,4
18,4
6,5
12,5
18,5
6,6
6,7
6,8
6,9
6,10
6,11
6,13
6,14
6,15
6,16
6,17
6,18
6,19
6,20
6,21
6,22
6,23
12,6
12,7
12,8
12,9
12,10
12,11
12,13
12,14
12,15
12,16
12,17
12,19
12,20
12,21
12,22
12,23
18,6
18,7
18,8
18,9
18,10
18,11
18,13
18,14
18,15
18,16
18,17
18,18
18,19
18,20
18,21
18,22
18,23
0,6
1,6
2,6
3,6
4,6
5,6
7,6
8,6
9,6
10,6
11,6
13,6
14,6
15,6
16,6
17,6
19,6
20,6
21,6
22,6
23,6
0,12
1,12
2,12
3,12
4,12
5,12
7,12
8,12
9,12
10,12
11,12
13,12
14,12
15,12
16,12
17,12
19,12
20,12
21,12
22,12
23,12
0,18
1,18
2,18
3,18
4,18
5,18
7,18
8,18
9,18
10,18
11,18
13,18
14,18
15,18
16,18
17,18
19,18
20,18
21,18
22,18
23,18
